stratum,context,combination,architecture_label,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,-0.01938519222799867,0.02770129337590563,0.4840561127050394,,,,0.5647321314892126
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,-0.01797709610101239,0.02777375641775308,0.5174577549193626,-0.02691132747260261,0.050451682970927246,0.593751233497659,0.6037007140725897
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1953,83,52.0,-0.01938519222799867,0.02770129337590563,0.4840561127050394,,,,0.5647321314892126
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,-0.01797709610101239,0.02777375641775308,0.5174577549193626,-0.02691132747260261,0.050451682970927246,0.593751233497659,0.6037007140725897
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,-0.056343968440649095,0.0451360216369732,0.21191575890171874,,,,0.39942178464417777
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,-0.05638972067572712,0.04510006669782316,0.2111810132380479,0.012078392725529352,0.07407455646402934,0.8704733667328299,0.49275569755544507
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1953,83,52.0,-0.056343968440649095,0.0451360216369732,0.21191575890171874,,,,0.39942178464417777
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,-0.05638972067572712,0.04510006669782316,0.2111810132380479,0.012078392725529352,0.07407455646402934,0.8704733667328299,0.49275569755544507
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,-0.026962747553794242,0.026137450059892948,0.3022711222762144,,,,0.4231795711867002
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,-0.026537785671197245,0.02637367910042666,0.3143086176346395,-0.005905906376403536,0.06869951446946167,0.9314924741970032,0.5051618460367128
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1953,83,52.0,-0.026962747553794242,0.026137450059892948,0.3022711222762144,,,,0.4231795711867002
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,-0.026537785671197245,0.02637367910042666,0.3143086176346395,-0.005905906376403536,0.06869951446946167,0.9314924741970032,0.5051618460367128
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,0.007467387280383597,0.03187801079272611,0.8147917951231441,,,,0.8147917951231441
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,0.003881842153886428,0.032104661415380265,0.9037606550574485,0.0785957873194221,0.07000059006326526,0.2615277566398641,0.9037606550574485
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,pilot,30,unconditional,fit,1953,83,52.0,0.007467387280383597,0.03187801079272611,0.8147917951231441,,,,0.8147917951231441
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,0.003881842153886428,0.032104661415380265,0.9037606550574485,0.0785957873194221,0.07000059006326526,0.2615277566398641,0.9037606550574485
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,-0.1105362831950415,0.06742356615858523,0.10112353388553166,,,,0.35393236859936084
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,-0.11001604184241409,0.06784743663699383,0.10490595457023864,0.004997230536368136,0.07785811587278638,0.9488238683536661,0.36717084099583525
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,pilot,30,unconditional,fit,1953,83,52.0,-0.1105362831950415,0.06742356615858523,0.10112353388553166,,,,0.35393236859936084
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,-0.11001604184241409,0.06784743663699383,0.10490595457023864,0.004997230536368136,0.07785811587278638,0.9488238683536661,0.36717084099583525
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,-0.019808138951999343,0.016439622463187677,0.22824101979667302,,,,0.39942178464417777
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,-0.014836602864429449,0.01623642840015772,0.3608298900262234,-0.10157065801748794,0.03810922931070572,0.007693090048157658,0.5051618460367128
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,pilot,30,unconditional,fit,1953,83,52.0,-0.019808138951999343,0.016439622463187677,0.22824101979667302,,,,0.39942178464417777
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,-0.014836602864429449,0.01623642840015772,0.3608298900262234,-0.10157065801748794,0.03810922931070572,0.007693090048157658,0.5051618460367128
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,1953,83,52.0,-0.07804558510180687,0.0182334121098811,1.8659044325047663e-05,,,,0.00013061331027533363
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,1890,83,58.0,-0.07096078835158126,0.01820782809581916,9.728388685398264e-05,-0.1411551734981208,0.04267419920851614,0.0009405194398474343,0.0006809872079778785
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,pilot,30,unconditional,fit,1953,83,52.0,-0.07804558510180687,0.0182334121098811,1.8659044325047663e-05,,,,0.00013061331027533363
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,pilot,30,conditional_selfing,fit,1890,83,58.0,-0.07096078835158126,0.01820782809581916,9.728388685398264e-05,-0.1411551734981208,0.04267419920851614,0.0009405194398474343,0.0006809872079778785
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.18228235048768004,0.07386593256546471,0.013596680742578141,,,,0.023794191299511748
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.16625146063921203,0.07154326421455406,0.02013679791686896,-0.1693594752106815,0.10558269342834632,0.10870395905956066,0.033612231125430714
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,322,60,8.5,-0.18228235048768004,0.07386593256546471,0.013596680742578141,,,,0.023794191299511748
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,-0.16625146063921203,0.07154326421455406,0.02013679791686896,-0.1693594752106815,0.10558269342834632,0.10870395905956066,0.033612231125430714
all_observed,northern_high_latitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.27119680372625,0.08250352473030916,0.0010122720093220417,,,,0.003542952032627146
all_observed,northern_high_latitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.2594331643193737,0.07366196183330607,0.00042839770264448373,-0.106262117199317,0.20853266772552081,0.6103523234216717,0.001499391959255693
all_observed,northern_high_latitude,yellow_orange__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,322,60,8.5,-0.27119680372625,0.08250352473030916,0.0010122720093220417,,,,0.003542952032627146
all_observed,northern_high_latitude,yellow_orange__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,-0.2594331643193737,0.07366196183330607,0.00042839770264448373,-0.106262117199317,0.20853266772552081,0.6103523234216717,0.001499391959255693
all_observed,northern_high_latitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.23666572005743758,0.06361737677288047,0.00019911024208785506,,,,0.0013937716946149854
all_observed,northern_high_latitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.24902930595377804,0.0631530116289986,8.037844856958974e-05,0.15724299904217798,0.15354834082715055,0.3058060589882599,0.0005626491399871281
all_observed,northern_high_latitude,blue_purple__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,322,60,8.5,-0.23666572005743758,0.06361737677288047,0.00019911024208785506,,,,0.0013937716946149854
all_observed,northern_high_latitude,blue_purple__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,-0.24902930595377804,0.0631530116289986,8.037844856958974e-05,0.15724299904217798,0.15354834082715055,0.3058060589882599,0.0005626491399871281
all_observed,northern_high_latitude,red_pink__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,0.1256735305829748,0.05957219219970496,0.03489277526859563,,,,0.04884988537603389
all_observed,northern_high_latitude,red_pink__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,0.13322709897320717,0.05902867705069421,0.024008736518164795,-0.09654405082615125,0.09312040356038158,0.2998450121792028,0.033612231125430714
all_observed,northern_high_latitude,red_pink__bird_form,bird_associated_form,pilot,30,unconditional,fit,322,60,8.5,0.1256735305829748,0.05957219219970496,0.03489277526859563,,,,0.04884988537603389
all_observed,northern_high_latitude,red_pink__bird_form,bird_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,0.13322709897320717,0.05902867705069421,0.024008736518164795,-0.09654405082615125,0.09312040356038158,0.2998450121792028,0.033612231125430714
all_observed,northern_high_latitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.16043522065338683,0.06407907250207505,0.01228997738371742,,,,0.023794191299511748
all_observed,northern_high_latitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.14646712419502883,0.05320114261029672,0.005903705251003239,-0.1526804666905761,0.21457964563289803,0.4767541021453838,0.013775312252340889
all_observed,northern_high_latitude,yellow_orange__bird_form,bird_associated_form,pilot,30,unconditional,fit,322,60,8.5,-0.16043522065338683,0.06407907250207505,0.01228997738371742,,,,0.023794191299511748
all_observed,northern_high_latitude,yellow_orange__bird_form,bird_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,-0.14646712419502883,0.05320114261029672,0.005903705251003239,-0.1526804666905761,0.21457964563289803,0.4767541021453838,0.013775312252340889
all_observed,northern_high_latitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.029825054205519452,0.017170312417660157,0.08238489351105764,,,,0.09611570909623392
all_observed,northern_high_latitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.032236932976207555,0.018688848303874128,0.0845403017485494,0.01005357935756046,0.07280320947725388,0.890167289751859,0.09863035203997429
all_observed,northern_high_latitude,blue_purple__large_bee_form,large_bee_associated_form,pilot,30,unconditional,fit,322,60,8.5,-0.029825054205519452,0.017170312417660157,0.08238489351105764,,,,0.09611570909623392
all_observed,northern_high_latitude,blue_purple__large_bee_form,large_bee_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,-0.032236932976207555,0.018688848303874128,0.0845403017485494,0.01005357935756046,0.07280320947725388,0.890167289751859,0.09863035203997429
all_observed,northern_high_latitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.057254625500094386,0.04322802810102722,0.1853439356142649,,,,0.1853439356142649
all_observed,northern_high_latitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.053770234059953737,0.03895732628807156,0.16751454728953777,-0.038253557397240456,0.0978778614366266,0.6959232547516707,0.16751454728953777
all_observed,northern_high_latitude,yellow_orange__large_bee_form,large_bee_associated_form,pilot,30,unconditional,fit,322,60,8.5,-0.057254625500094386,0.04322802810102722,0.1853439356142649,,,,0.1853439356142649
all_observed,northern_high_latitude,yellow_orange__large_bee_form,large_bee_associated_form,pilot,30,conditional_selfing,fit,307,57,10.0,-0.053770234059953737,0.03895732628807156,0.16751454728953777,-0.038253557397240456,0.0978778614366266,0.6959232547516707,0.16751454728953777
all_observed,tropical,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1086,103,7.0,-0.10032627905377822,0.03505259007087396,0.004207584579099413,,,,0.026731872230934227
all_observed,tropical,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,944,101,10.0,-0.06550781903833866,0.03665745771830591,0.07393333490460172,-0.14365128775237046,0.045061016370405244,0.001432960813558874,0.258766672166106
all_observed,tropical,red_pink__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1086,103,7.0,-0.10032627905377822,0.03505259007087396,0.004207584579099413,,,,0.026731872230934227
