stratum,context,colour,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,northern_high_latitude,blue_purple,confirmatory,50,conditional_selfing,fit,335,60,34.0,0.0022297814626504042,0.012856922561393222,0.8623131167293094,0.05516390215832212,0.0228223401426959,0.015644673599519026,0.8744407782035186,50,fit,335,60,34.0,0.0028296415354274,0.0127024796602997,0.823720023814112,0.0549714295991444,0.0224607524052951,0.014387355406118,0.823720023814112
all_observed,northern_high_latitude,green_brown_inconspicuous,confirmatory,50,conditional_selfing,fit,335,60,34.0,0.02261889047859733,0.019285046772964984,0.24084715821719638,-0.08643884988170941,0.0479312140915361,0.07132640516563228,0.4014119303619939,50,fit,335,60,34.0,0.0207346983780858,0.0168404222075634,0.2182309627737464,-0.0852896648354878,0.0478545425983567,0.0747053854720072,0.467076327015252
all_observed,northern_high_latitude,red_pink,confirmatory,50,conditional_selfing,fit,335,60,34.0,0.027512754126912897,0.014575114020368433,0.059072582896292934,-0.0790876409165926,0.03739425013023487,0.034432678164336754,0.24015389408005927,50,fit,335,60,34.0,0.0228843141776373,0.0144627446350729,0.1135824679672643,-0.0767918447264793,0.0369771451537044,0.0378257416899973,0.467076327015252
all_observed,northern_high_latitude,white,confirmatory,50,conditional_selfing,fit,335,60,34.0,0.038723437240507586,0.02326773611002061,0.0960615576320237,0.10605043356011436,0.03661352457979912,0.003773716775623188,0.24015389408005927,50,fit,335,60,34.0,0.0258505681972376,0.0239408686724724,0.2802457962091512,0.1117664225617633,0.0363687300152816,0.0021181472456578,0.467076327015252
all_observed,northern_high_latitude,yellow_orange,confirmatory,50,conditional_selfing,fit,335,60,34.0,-0.0030999049343034546,0.019617127210573775,0.8744407782035185,-0.1748392035194356,0.0433879594171146,5.585496263904035e-05,0.8744407782035186,50,fit,335,60,34.0,0.0064912204656009,0.0163538861498276,0.6914248330325704,-0.1786146490703202,0.042527134923077,2.668960648633491e-05,0.823720023814112
all_observed,northern_high_latitude,blue_purple,confirmatory,50,unconditional,fit,399,63,21.0,0.010817933078421271,0.013994736397831633,0.43952230270637754,,,,0.549402878382972,50,fit,399,63,21.0,0.0110851924556417,0.0142137422613336,0.4354540925633816,,,,0.5443176157042271
all_observed,northern_high_latitude,green_brown_inconspicuous,confirmatory,50,unconditional,fit,399,63,21.0,0.012749630085820703,0.023203484487829308,0.5826826080546431,,,,0.5826826080546431,50,fit,399,63,21.0,0.0121260623162247,0.0210483927161279,0.5645449175117628,,,,0.5645449175117628
all_observed,northern_high_latitude,red_pink,confirmatory,50,unconditional,fit,399,63,21.0,0.019200524725888624,0.01663491149558883,0.2484056194211797,,,,0.41400936570196617,50,fit,399,63,21.0,0.0159521850454695,0.0160383223173222,0.319916599385445,,,,0.5443176157042271
all_observed,northern_high_latitude,white,confirmatory,50,unconditional,fit,399,63,21.0,0.056864502679045845,0.029172171769463375,0.05126292980350201,,,,0.25631464901751005,50,fit,399,63,21.0,0.0432894696749798,0.0298863829874914,0.147486206531286,,,,0.5443176157042271
all_observed,northern_high_latitude,yellow_orange,confirmatory,50,unconditional,fit,399,63,21.0,-0.028513564959283755,0.024378251916376378,0.24214940083804676,,,,0.41400936570196617,50,fit,399,63,21.0,-0.0172940094138693,0.0208181916858648,0.4061339636051054,,,,0.5443176157042271
all_observed,northern_high_latitude,blue_purple,pilot,30,conditional_selfing,fit,335,60,34.0,0.0022297814626504042,0.012856922561393222,0.8623131167293094,0.05516390215832212,0.0228223401426959,0.015644673599519026,0.8744407782035186,30,fit,335,60,34.0,0.0028296415354274,0.0127024796602997,0.823720023814112,0.0549714295991444,0.0224607524052951,0.014387355406118,0.823720023814112
all_observed,northern_high_latitude,green_brown_inconspicuous,pilot,30,conditional_selfing,fit,335,60,34.0,0.02261889047859733,0.019285046772964984,0.24084715821719638,-0.08643884988170941,0.0479312140915361,0.07132640516563228,0.4014119303619939,30,fit,335,60,34.0,0.0207346983780858,0.0168404222075634,0.2182309627737464,-0.0852896648354878,0.0478545425983567,0.0747053854720072,0.467076327015252
all_observed,northern_high_latitude,red_pink,pilot,30,conditional_selfing,fit,335,60,34.0,0.027512754126912897,0.014575114020368433,0.059072582896292934,-0.0790876409165926,0.03739425013023487,0.034432678164336754,0.24015389408005927,30,fit,335,60,34.0,0.0228843141776373,0.0144627446350729,0.1135824679672643,-0.0767918447264793,0.0369771451537044,0.0378257416899973,0.467076327015252
