stratum,context,support_tier,threshold_corrected,model,status_corrected,n_retained_colours_corrected,retained_colours_corrected,n_unique_islands_corrected,n_clusters_corrected,wald_chisq_corrected,df_corrected,p_value_corrected,distance_slopes_corrected,threshold_original,status_original,n_retained_colours_original,retained_colours_original,n_unique_islands_original,n_clusters_original,wald_chisq_original,df_original,p_value_original,distance_slopes_original
all_observed,northern_high_latitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,335,60,9.541455476712988,5,0.08932070192109842,white:0.038723437;red_pink:0.027512754;yellow_orange:-0.0030999049;blue_purple:0.0022297815;green_brown_inconspicuous:0.02261889,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,335,60,6.181177571746122,5,0.2889866748482788,white:0.025850568;red_pink:0.022884314;yellow_orange:0.0064912205;blue_purple:0.0028296415;green_brown_inconspicuous:0.020734698
all_observed,northern_high_latitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,399,63,10.198458607675539,5,0.06980338228129343,white:0.056864503;red_pink:0.019200525;yellow_orange:-0.028513565;blue_purple:0.010817933;green_brown_inconspicuous:0.01274963,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,399,63,6.834794890696676,5,0.2332196150846988,white:0.04328947;red_pink:0.015952185;yellow_orange:-0.017294009;blue_purple:0.011085192;green_brown_inconspicuous:0.012126062
all_observed,northern_high_latitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,335,60,9.541455476712988,5,0.08932070192109842,white:0.038723437;red_pink:0.027512754;yellow_orange:-0.0030999049;blue_purple:0.0022297815;green_brown_inconspicuous:0.02261889,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,335,60,6.181177571746122,5,0.2889866748482788,white:0.025850568;red_pink:0.022884314;yellow_orange:0.0064912205;blue_purple:0.0028296415;green_brown_inconspicuous:0.020734698
all_observed,northern_high_latitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,399,63,10.198458607675539,5,0.06980338228129343,white:0.056864503;red_pink:0.019200525;yellow_orange:-0.028513565;blue_purple:0.010817933;green_brown_inconspicuous:0.01274963,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,399,63,6.834794890696676,5,0.2332196150846988,white:0.04328947;red_pink:0.015952185;yellow_orange:-0.017294009;blue_purple:0.011085192;green_brown_inconspicuous:0.012126062
all_observed,northern_midlatitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1950,85,36.33872392586463,5,8.125639054936905e-07,white:-0.019803234;red_pink:-0.027143173;yellow_orange:-0.035091256;blue_purple:-0.0061300199;green_brown_inconspicuous:0.017462282,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1951,85,38.24082301800122,5,3.3754045100813e-07,white:-0.018642731;red_pink:-0.025260922;yellow_orange:-0.03598028;blue_purple:-0.0032504664;green_brown_inconspicuous:0.013127687
all_observed,northern_midlatitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2147,85,38.38442403854337,5,3.15835562991387e-07,white:-0.01900322;red_pink:-0.032407518;yellow_orange:-0.034457024;blue_purple:-0.0066387218;green_brown_inconspicuous:0.019881058,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2148,85,38.05634379042884,5,3.676167454782099e-07,white:-0.017997308;red_pink:-0.030131882;yellow_orange:-0.035453254;blue_purple:-0.0038751427;green_brown_inconspicuous:0.01539399
all_observed,northern_midlatitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1950,85,36.33872392586463,5,8.125639054936905e-07,white:-0.019803234;red_pink:-0.027143173;yellow_orange:-0.035091256;blue_purple:-0.0061300199;green_brown_inconspicuous:0.017462282,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1951,85,38.24082301800122,5,3.3754045100813e-07,white:-0.018642731;red_pink:-0.025260922;yellow_orange:-0.03598028;blue_purple:-0.0032504664;green_brown_inconspicuous:0.013127687
all_observed,northern_midlatitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2147,85,38.38442403854337,5,3.15835562991387e-07,white:-0.01900322;red_pink:-0.032407518;yellow_orange:-0.034457024;blue_purple:-0.0066387218;green_brown_inconspicuous:0.019881058,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2148,85,38.05634379042884,5,3.676167454782099e-07,white:-0.017997308;red_pink:-0.030131882;yellow_orange:-0.035453254;blue_purple:-0.0038751427;green_brown_inconspicuous:0.01539399
all_observed,southern_extratropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,236,38,42.982398104620586,5,3.7255546998817e-08,white:0.055894426;red_pink:0.03431329;yellow_orange:-0.030002241;blue_purple:-0.036167984;green_brown_inconspicuous:-0.0049602233,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,236,38,50.25623070388842,5,1.2281735022123746e-09,white:0.064354603;red_pink:0.033679288;yellow_orange:-0.029074411;blue_purple:-0.038617049;green_brown_inconspicuous:-0.00087519648
all_observed,southern_extratropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,279,40,49.33776427758789,5,1.8930362688609525e-09,white:0.050988562;red_pink:0.031071232;yellow_orange:-0.03443924;blue_purple:-0.036719408;green_brown_inconspicuous:0.011206122,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,279,40,51.68327862974871,5,6.264974978061226e-10,white:0.058931486;red_pink:0.031478737;yellow_orange:-0.034883747;blue_purple:-0.039170817;green_brown_inconspicuous:0.018323146
all_observed,southern_extratropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,236,38,42.982398104620586,5,3.7255546998817e-08,white:0.055894426;red_pink:0.03431329;yellow_orange:-0.030002241;blue_purple:-0.036167984;green_brown_inconspicuous:-0.0049602233,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,236,38,50.25623070388842,5,1.2281735022123746e-09,white:0.064354603;red_pink:0.033679288;yellow_orange:-0.029074411;blue_purple:-0.038617049;green_brown_inconspicuous:-0.00087519648
all_observed,southern_extratropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,279,40,49.33776427758789,5,1.8930362688609525e-09,white:0.050988562;red_pink:0.031071232;yellow_orange:-0.03443924;blue_purple:-0.036719408;green_brown_inconspicuous:0.011206122,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,279,40,51.68327862974871,5,6.264974978061226e-10,white:0.058931486;red_pink:0.031478737;yellow_orange:-0.034883747;blue_purple:-0.039170817;green_brown_inconspicuous:0.018323146
all_observed,tropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1039,104,19.422997394667966,5,0.0016027569884749088,white:0.019123745;red_pink:0.039843222;yellow_orange:0.040271442;blue_purple:0.025077526;green_brown_inconspicuous:0.044196847,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1039,104,22.92520698465597,5,0.0003488623100307,white:0.018419187;red_pink:0.04005006;yellow_orange:0.040869584;blue_purple:0.028426654;green_brown_inconspicuous:0.046434153
all_observed,tropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1465,110,22.930574750484357,5,0.0003480393089880811,white:0.020538942;red_pink:0.025534202;yellow_orange:0.021354565;blue_purple:0.01238505;green_brown_inconspicuous:0.054493961,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1465,110,26.66750000582116,5,6.620715242403872e-05,white:0.019636026;red_pink:0.024243843;yellow_orange:0.020678013;blue_purple:0.013987189;green_brown_inconspicuous:0.057488533
all_observed,tropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1039,104,19.422997394667966,5,0.0016027569884749088,white:0.019123745;red_pink:0.039843222;yellow_orange:0.040271442;blue_purple:0.025077526;green_brown_inconspicuous:0.044196847,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1039,104,22.92520698465597,5,0.0003488623100307,white:0.018419187;red_pink:0.04005006;yellow_orange:0.040869584;blue_purple:0.028426654;green_brown_inconspicuous:0.046434153
all_observed,tropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1465,110,22.930574750484357,5,0.0003480393089880811,white:0.020538942;red_pink:0.025534202;yellow_orange:0.021354565;blue_purple:0.01238505;green_brown_inconspicuous:0.054493961,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1465,110,26.66750000582116,5,6.620715242403872e-05,white:0.019636026;red_pink:0.024243843;yellow_orange:0.020678013;blue_purple:0.013987189;green_brown_inconspicuous:0.057488533
