stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,1803,82,23.0,-0.016254896763329918,0.03852594619945394,0.6730828515385312,,,,0.8378088872420726
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1772,82,25.0,-0.019106220480295366,0.03836841398731614,0.6185069992858456,0.056876241696441426,0.05947564546000042,0.3389233909216336,0.8659097990001839
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,1803,82,23.0,-0.016254896763329918,0.03852594619945394,0.6730828515385312,,,,0.8378088872420726
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,1772,82,25.0,-0.019106220480295366,0.03836841398731614,0.6185069992858456,0.056876241696441426,0.05947564546000042,0.3389233909216336,0.8659097990001839
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,1792,83,26.0,-0.0450888887037694,0.04054116096372709,0.2660626707048994,,,,0.6208128983114319
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1766,83,26.0,-0.04172282849623499,0.040879367712655434,0.30742838583185866,-0.055294844220090095,0.054629102785817944,0.31144885587544385,0.6773234974113232
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,1792,83,26.0,-0.0450888887037694,0.04054116096372709,0.2660626707048994,,,,0.6208128983114319
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,1766,83,26.0,-0.04172282849623499,0.040879367712655434,0.30742838583185866,-0.055294844220090095,0.054629102785817944,0.31144885587544385,0.6773234974113232
all_observed,northern_midlatitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,1786,83,24.0,-0.029759847215949847,0.03589019093635726,0.40699596006999933,,,,0.6379494136785697
all_observed,northern_midlatitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1762,83,25.0,-0.03125497216733769,0.03613316008307662,0.38704199852075616,0.033270319147758645,0.06088645004567378,0.5847688551401922,0.6773234974113232
