stratum,context,support_tier,threshold,model,status,n_retained_colours,retained_colours,n_unique_islands,n_clusters,wald_chisq,df,p_value,distance_slopes
all_observed,northern_midlatitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2147,85,38.38442403854337,5,3.15835562991387e-07,white:-0.01900322;red_pink:-0.032407518;yellow_orange:-0.034457024;blue_purple:-0.0066387218;green_brown_inconspicuous:0.019881058
all_observed,northern_midlatitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1950,85,36.33872392586463,5,8.125639054936905e-07,white:-0.019803234;red_pink:-0.027143173;yellow_orange:-0.035091256;blue_purple:-0.0061300199;green_brown_inconspicuous:0.017462282
all_observed,northern_midlatitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2147,85,38.38442403854337,5,3.15835562991387e-07,white:-0.01900322;red_pink:-0.032407518;yellow_orange:-0.034457024;blue_purple:-0.0066387218;green_brown_inconspicuous:0.019881058
all_observed,northern_midlatitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1950,85,36.33872392586463,5,8.125639054936905e-07,white:-0.019803234;red_pink:-0.027143173;yellow_orange:-0.035091256;blue_purple:-0.0061300199;green_brown_inconspicuous:0.017462282
all_observed,northern_high_latitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,399,63,10.198458607675539,5,0.06980338228129343,white:0.056864503;red_pink:0.019200525;yellow_orange:-0.028513565;blue_purple:0.010817933;green_brown_inconspicuous:0.01274963
all_observed,northern_high_latitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,335,60,9.541455476712988,5,0.08932070192109842,white:0.038723437;red_pink:0.027512754;yellow_orange:-0.0030999049;blue_purple:0.0022297815;green_brown_inconspicuous:0.02261889
all_observed,northern_high_latitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,399,63,10.198458607675539,5,0.06980338228129343,white:0.056864503;red_pink:0.019200525;yellow_orange:-0.028513565;blue_purple:0.010817933;green_brown_inconspicuous:0.01274963
all_observed,northern_high_latitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,335,60,9.541455476712988,5,0.08932070192109842,white:0.038723437;red_pink:0.027512754;yellow_orange:-0.0030999049;blue_purple:0.0022297815;green_brown_inconspicuous:0.02261889
all_observed,tropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1465,110,22.930574750484357,5,0.0003480393089880811,white:0.020538942;red_pink:0.025534202;yellow_orange:0.021354565;blue_purple:0.01238505;green_brown_inconspicuous:0.054493961
all_observed,tropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1039,104,19.422997394667966,5,0.0016027569884749088,white:0.019123745;red_pink:0.039843222;yellow_orange:0.040271442;blue_purple:0.025077526;green_brown_inconspicuous:0.044196847
all_observed,tropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1465,110,22.930574750484357,5,0.0003480393089880811,white:0.020538942;red_pink:0.025534202;yellow_orange:0.021354565;blue_purple:0.01238505;green_brown_inconspicuous:0.054493961
all_observed,tropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1039,104,19.422997394667966,5,0.0016027569884749088,white:0.019123745;red_pink:0.039843222;yellow_orange:0.040271442;blue_purple:0.025077526;green_brown_inconspicuous:0.044196847
all_observed,southern_extratropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,279,40,49.33776427758789,5,1.8930362688609525e-09,white:0.050988562;red_pink:0.031071232;yellow_orange:-0.03443924;blue_purple:-0.036719408;green_brown_inconspicuous:0.011206122
all_observed,southern_extratropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,236,38,42.982398104620586,5,3.7255546998817e-08,white:0.055894426;red_pink:0.03431329;yellow_orange:-0.030002241;blue_purple:-0.036167984;green_brown_inconspicuous:-0.0049602233
all_observed,southern_extratropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,279,40,49.33776427758789,5,1.8930362688609525e-09,white:0.050988562;red_pink:0.031071232;yellow_orange:-0.03443924;blue_purple:-0.036719408;green_brown_inconspicuous:0.011206122
all_observed,southern_extratropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,236,38,42.982398104620586,5,3.7255546998817e-08,white:0.055894426;red_pink:0.03431329;yellow_orange:-0.030002241;blue_purple:-0.036167984;green_brown_inconspicuous:-0.0049602233
