stratum,context,colour,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,white,confirmatory,50,unconditional,fit,2147,85,120.0,-0.019003219960324398,0.020700743360925936,0.35862044513272084,,,,0.44827555641590106
all_observed,northern_midlatitude,white,confirmatory,50,conditional_selfing,fit,1950,85,150.5,-0.01980323442477514,0.020874368372090845,0.3427800101481575,0.01823518148609611,0.02176112424699672,0.40204723769049755,0.4284750126851969
all_observed,northern_midlatitude,white,pilot,30,unconditional,fit,2147,85,120.0,-0.019003219960324398,0.020700743360925936,0.35862044513272084,,,,0.44827555641590106
all_observed,northern_midlatitude,white,pilot,30,conditional_selfing,fit,1950,85,150.5,-0.01980323442477514,0.020874368372090845,0.3427800101481575,0.01823518148609611,0.02176112424699672,0.40204723769049755,0.4284750126851969
all_observed,northern_midlatitude,red_pink,confirmatory,50,unconditional,fit,2147,85,120.0,-0.032407518155735685,0.011078134487527121,0.00344059280079924,,,,0.0172029640039962
all_observed,northern_midlatitude,red_pink,confirmatory,50,conditional_selfing,fit,1950,85,150.5,-0.027143172906291438,0.010219286903941225,0.007905647859983067,-0.09090652884826238,0.03099094207574419,0.003353518218255456,0.039528239299915335
all_observed,northern_midlatitude,red_pink,pilot,30,unconditional,fit,2147,85,120.0,-0.032407518155735685,0.011078134487527121,0.00344059280079924,,,,0.0172029640039962
all_observed,northern_midlatitude,red_pink,pilot,30,conditional_selfing,fit,1950,85,150.5,-0.027143172906291438,0.010219286903941225,0.007905647859983067,-0.09090652884826238,0.03099094207574419,0.003353518218255456,0.039528239299915335
all_observed,northern_midlatitude,yellow_orange,confirmatory,50,unconditional,fit,2147,85,120.0,-0.03445702441857543,0.015911938722017894,0.030350756187630376,,,,0.07587689046907595
all_observed,northern_midlatitude,yellow_orange,confirmatory,50,conditional_selfing,fit,1950,85,150.5,-0.03509125575373015,0.015628326880132156,0.024744884529824974,0.010724599455028287,0.02390286933874633,0.6536667387582431,0.06186221132456243
all_observed,northern_midlatitude,yellow_orange,pilot,30,unconditional,fit,2147,85,120.0,-0.03445702441857543,0.015911938722017894,0.030350756187630376,,,,0.07587689046907595
all_observed,northern_midlatitude,yellow_orange,pilot,30,conditional_selfing,fit,1950,85,150.5,-0.03509125575373015,0.015628326880132156,0.024744884529824974,0.010724599455028287,0.02390286933874633,0.6536667387582431,0.06186221132456243
all_observed,northern_midlatitude,blue_purple,confirmatory,50,unconditional,fit,2147,85,120.0,-0.006638721805717507,0.010861419597304784,0.5410536447798249,,,,0.5410536447798249
all_observed,northern_midlatitude,blue_purple,confirmatory,50,conditional_selfing,fit,1950,85,150.5,-0.00613001988173225,0.010667084431045493,0.565516626587691,-0.011260194012887775,0.02257005109137245,0.6178499737888838,0.565516626587691
all_observed,northern_midlatitude,blue_purple,pilot,30,unconditional,fit,2147,85,120.0,-0.006638721805717507,0.010861419597304784,0.5410536447798249,,,,0.5410536447798249
