stratum,context,combination,architecture_label_corrected,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,architecture_label_original,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,northern_high_latitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.24902930595377804,0.0631530116289986,8.037844856958974e-05,0.15724299904217798,0.15354834082715055,0.3058060589882599,0.0005626491399871281,butterfly_associated_form,50,fit,307,57,10.0,-0.1938773237312618,0.0464085632258021,2.945757656098517e-05,0.1238135712926773,0.1580147275876013,0.4333000010254388,0.0002062030359268
all_observed,northern_high_latitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.032236932976207555,0.018688848303874128,0.0845403017485494,0.01005357935756046,0.07280320947725388,0.890167289751859,0.09863035203997429,large_bee_associated_form,50,fit,307,57,10.0,-0.0410405504824074,0.0173154346959692,0.0177798340536608,0.0138188784567261,0.0727651878751061,0.8493792079133101,0.041486279458542
all_observed,northern_high_latitude,red_pink__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,0.13322709897320717,0.05902867705069421,0.024008736518164795,-0.09654405082615125,0.09312040356038158,0.2998450121792028,0.033612231125430714,bird_associated_form,50,fit,307,57,10.0,0.1046256144820105,0.0496666116634013,0.0351558820382191,-0.0825624138200544,0.0985453531940599,0.4021366722120219,0.0615227935668834
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.16625146063921203,0.07154326421455406,0.02013679791686896,-0.1693594752106815,0.10558269342834632,0.10870395905956066,0.033612231125430714,butterfly_associated_form,50,fit,307,57,10.0,-0.1310982699124574,0.0665440173807092,0.0488270809379236,-0.1850052934487358,0.106377431579214,0.0820100623729603,0.0683579133130931
all_observed,northern_high_latitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.14646712419502883,0.05320114261029672,0.005903705251003239,-0.1526804666905761,0.21457964563289803,0.4767541021453838,0.013775312252340889,bird_associated_form,50,fit,307,57,10.0,-0.0975684718754319,0.0599080542243097,0.1033898931959955,-0.1775324920341043,0.2059072599156614,0.388579466966021,0.1206215420619948
all_observed,northern_high_latitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.2594331643193737,0.07366196183330607,0.00042839770264448373,-0.106262117199317,0.20853266772552081,0.6103523234216717,0.001499391959255693,butterfly_associated_form,50,fit,307,57,10.0,-0.1835209547473795,0.0762362922049493,0.0160725043572492,-0.1416091763915163,0.2008636906744977,0.4808093858099248,0.041486279458542
all_observed,northern_high_latitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,307,57,10.0,-0.053770234059953737,0.03895732628807156,0.16751454728953777,-0.038253557397240456,0.0978778614366266,0.6959232547516707,0.16751454728953777,large_bee_associated_form,50,fit,307,57,10.0,-0.0334503547098208,0.0312461188427073,0.2843743756963688,-0.0492817854380187,0.1001546393798585,0.6226790910908213,0.2843743756963688
all_observed,northern_high_latitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.23666572005743758,0.06361737677288047,0.00019911024208785506,,,,0.0013937716946149854,butterfly_associated_form,50,fit,322,60,8.5,-0.1850146067974734,0.049204710679326,0.0001698458059049,,,,0.0011889206413346
all_observed,northern_high_latitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,-0.029825054205519452,0.017170312417660157,0.08238489351105764,,,,0.09611570909623392,large_bee_associated_form,50,fit,322,60,8.5,-0.0386539206993701,0.0164718018105933,0.0189419071161094,,,,0.0523745640342883
all_observed,northern_high_latitude,red_pink__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,322,60,8.5,0.1256735305829748,0.05957219219970496,0.03489277526859563,,,,0.04884988537603389,bird_associated_form,50,fit,322,60,8.5,0.0979396788082526,0.049628767569799,0.0484448033343752,,,,0.0678227246681253
