accepted_species,genus,family,n_islands,n_records
Chamaedaphne calyculata,Chamaedaphne,Ericaceae,51,857
Ophrys tenthredinifera,Ophrys,Orchidaceae,54,3653
Asclepias tuberosa,Asclepias,Apocynaceae,39,967
Schefflera digitata,Schefflera,Araliaceae,13,14153
Diplotaxis muralis,Diplotaxis,Brassicaceae,110,16478
Lobelia cardinalis,Lobelia,Campanulaceae,19,263
Moehringia lateriflora,Moehringia,Caryophyllaceae,117,1296
Garcinia forbesii,Garcinia,Clusiaceae,4,65
Iris orientalis,Iris,Iridaceae,21,598
Erythronium dens-canis,Erythronium,Liliaceae,10,276
Pittosporum kirkii,Pittosporum,Pittosporaceae,3,318
Linanthus pungens,Linanthus,Polemoniaceae,2,10
Polygala polygama,Polygala,Polygalaceae,6,45
Salix scouleriana,Salix,Salicaceae,32,300
Vaccinium ovatum,Vaccinium,Ericaceae,45,3771
Himantoglossum robertianum,Himantoglossum,Orchidaceae,52,3717
