genus,standardized_value,support_n,supporting_taxa,source_names
Aeschynomene,SC,13,"[""Aeschynomene americana"", ""Aeschynomene brevifolia"", ""Aeschynomene ciliata"", ""Aeschynomene evenia"", ""Aeschynomene falcata"", ""Aeschynomene filosa"", ""Aeschynomene indica"", ""Aeschynomene pratensis"", ""Aeschynomene scabra"", ""Aeschynomene schimperi"", ""Aeschynomene sensitiva"", ""Aeschynomene uniflora"", ""Aeschynomene villosa""]","[""meyer_galloway_eckert_2026_dryad""]"
Alysicarpus,SC,5,"[""Alysicarpus bupleurifolius"", ""Alysicarpus glumaceus"", ""Alysicarpus monilifer"", ""Alysicarpus ovalifolius"", ""Alysicarpus vaginalis""]","[""meyer_galloway_eckert_2026_dryad""]"
Arachis,SC,5,"[""Arachis duranensis"", ""Arachis hypogaea"", ""Arachis pintoi"", ""Arachis repens"", ""Arachis stenosperma""]","[""meyer_galloway_eckert_2026_dryad""]"
Austrostipa,SC,11,"[""Austrostipa aristiglumis"", ""Austrostipa bigeniculata"", ""Austrostipa densiflora"", ""Austrostipa flavescens"", ""Austrostipa mollis"", ""Austrostipa pubescens"", ""Austrostipa rudis"", ""Austrostipa scabra"", ""Austrostipa semibarbata"", ""Austrostipa setacea"", ""Austrostipa stuposa""]","[""meyer_galloway_eckert_2026_dryad""]"
Brunfelsia,SI,5,"[""Brunfelsia americana"", ""Brunfelsia densifolia"", ""Brunfelsia latifolia"", ""Brunfelsia nitida"", ""Brunfelsia pauciflora""]","[""meyer_galloway_eckert_2026_dryad""]"
Capsicum,SC,5,"[""Capsicum annuum"", ""Capsicum baccatum"", ""Capsicum chinense"", ""Capsicum flexuosum"", ""Capsicum frutescens""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Circaea,SC,5,"[""Circaea alpina"", ""Circaea cordata"", ""Circaea erubescens"", ""Circaea lutetiana"", ""Circaea mollis""]","[""meyer_galloway_eckert_2026_dryad""]"
Coreopsis,SI,12,"[""Coreopsis auriculata"", ""Coreopsis basalis"", ""Coreopsis gigantea"", ""Coreopsis gladiata"", ""Coreopsis grandiflora"", ""Coreopsis lanceolata"", ""Coreopsis leavenworthii"", ""Coreopsis pubescens"", ""Coreopsis rosea"", ""Coreopsis tinctoria"", ""Coreopsis tripteris"", ""Coreopsis verticillata""]","[""meyer_galloway_eckert_2026_dryad""]"
Crotalaria,SC,11,"[""Crotalaria brevidens"", ""Crotalaria incana"", ""Crotalaria micans"", ""Crotalaria pallida"", ""Crotalaria purshii"", ""Crotalaria rotundifolia"", ""Crotalaria sagittalis"", ""Crotalaria spectabilis"", ""Crotalaria stipularia"", ""Crotalaria trifoliastrum"", ""Crotalaria vitellina""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Ctenodon,SC,6,"[""Ctenodon brasilianus"", ""Ctenodon brevipes"", ""Ctenodon elegans"", ""Ctenodon histrix"", ""Ctenodon marginatus"", ""Ctenodon paniculatus""]","[""meyer_galloway_eckert_2026_dryad""]"
Datura,SC,8,"[""Datura ceratocaula"", ""Datura discolor"", ""Datura innoxia"", ""Datura leichhardtii"", ""Datura metel"", ""Datura quercifolia"", ""Datura stramonium"", ""Datura wrightii""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Desmanthus,SC,6,"[""Desmanthus bicornutus"", ""Desmanthus fruticosus"", ""Desmanthus illinoensis"", ""Desmanthus leptophyllus"", ""Desmanthus pubescens"", ""Desmanthus virgatus""]","[""meyer_galloway_eckert_2026_dryad""]"
Desmodium,SC,12,"[""Desmodium angustifolium"", ""Desmodium arechavaletae"", ""Desmodium axillare"", ""Desmodium cajanifolium"", ""Desmodium canadense"", ""Desmodium distortum"", ""Desmodium glabrum"", ""Desmodium incanum"", ""Desmodium intortum"", ""Desmodium scorpiurus"", ""Desmodium tortuosum"", ""Desmodium uncinatum""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Dichelachne,SC,6,"[""Dichelachne hirtella"", ""Dichelachne inaequiglumis"", ""Dichelachne micrantha"", ""Dichelachne parva"", ""Dichelachne rara"", ""Dichelachne sieberiana""]","[""meyer_galloway_eckert_2026_dryad""]"
Enteropogon,SC,5,"[""Enteropogon acicularis"", ""Enteropogon dolichostachyus"", ""Enteropogon paucispiceus"", ""Enteropogon ramosus"", ""Enteropogon unispiceus""]","[""meyer_galloway_eckert_2026_dryad""]"
Epilobium,SC,44,"[""Epilobium alsinoides"", ""Epilobium anagallidifolium"", ""Epilobium angustum"", ""Epilobium billardiereanum"", ""Epilobium brachycarpum"", ""Epilobium brevipes"", ""Epilobium brunnescens"", ""Epilobium canum"", ""Epilobium chionanthum"", ""Epilobium chlorifolium"", ""Epilobium ciliatum"", ""Epilobium coloratum"", ""Epilobium crassum"", ""Epilobium densiflorum"", ""Epilobium glabellum"", ""Epilobium gracilipes"", ""Epilobium gunnianum"", ""Epilobium hirsutum"", ""Epilobium hirtigerum"", ""Epilobium insulare"", ""Epilobium komarovianum"", ""Epilobium lanceolatum"", ""Epilobium luteum"", ""Epilobium macropus"", ""Epilobium melanocaulon"", ""Epilobium microphyllum"", ""Epilobium minutum"", ""Epilobium montanum"", ""Epilobium obscurum"", ""Epilobium pallidiflorum"", ""Epilobium palustre"", ""Epilobium parviflorum"", ""Epilobium pedunculare"", ""Epilobium pernitens"", ""Epilobium porphyrium"", ""Epilobium pubens"", ""Epilobium pycnostachyum"", ""Epilobium roseum"", ""Epilobium rostratum"", ""Epilobium rotundifolium"", ""Epilobium tasmanicum"", ""Epilobium tetragonum"", ""Epilobium torreyi"", ""Epilobium wilsonii""]","[""meyer_galloway_eckert_2026_dryad""]"
Eragrostis,SC,13,"[""Eragrostis anomala"", ""Eragrostis blakei"", ""Eragrostis concinna"", ""Eragrostis confusa"", ""Eragrostis cumingii"", ""Eragrostis danesii"", ""Eragrostis elongata"", ""Eragrostis fallax"", ""Eragrostis parviflora"", ""Eragrostis pubescens"", ""Eragrostis sororia"", ""Eragrostis stenostachya"", ""Eragrostis tenellula""]","[""meyer_galloway_eckert_2026_dryad""]"
Eriachne,SC,5,"[""Eriachne armitii"", ""Eriachne insularis"", ""Eriachne pallescens"", ""Eriachne stipacea"", ""Eriachne triseta""]","[""meyer_galloway_eckert_2026_dryad""]"
Fuchsia,SC,16,"[""Fuchsia arborescens"", ""Fuchsia coccinea"", ""Fuchsia colensoi"", ""Fuchsia cyrtandroides"", ""Fuchsia denticulata"", ""Fuchsia excorticata"", ""Fuchsia fulgens"", ""Fuchsia glazioviana"", ""Fuchsia hatschbachii"", ""Fuchsia magellanica"", ""Fuchsia microphylla"", ""Fuchsia paniculata"", ""Fuchsia procumbens"", ""Fuchsia splendens"", ""Fuchsia thymifolia"", ""Fuchsia triphylla""]","[""meyer_galloway_eckert_2026_dryad""]"
Galactia,SC,10,"[""Galactia canescens"", ""Galactia dubia"", ""Galactia elliptifoliola"", ""Galactia glaucescens"", ""Galactia jussiaeana"", ""Galactia latisiliqua"", ""Galactia longifolia"", ""Galactia spiciformis"", ""Galactia striata"", ""Galactia tenuiflora""]","[""meyer_galloway_eckert_2026_dryad""]"
Hippocrepis,SC,5,"[""Hippocrepis areolata"", ""Hippocrepis biflora"", ""Hippocrepis ciliata"", ""Hippocrepis multisiliquosa"", ""Hippocrepis unisiliquosa""]","[""meyer_galloway_eckert_2026_dryad""]"
Impatiens,SC,5,"[""Impatiens capensis"", ""Impatiens glandulifera"", ""Impatiens noli-tangere"", ""Impatiens pallida"", ""Impatiens parviflora""]","[""meyer_galloway_eckert_2026_dryad"", ""razanajatovo_etal_2016_nature_communications""]"
Indigofera,SC,5,"[""Indigofera hirsuta"", ""Indigofera lespedezioides"", ""Indigofera microcarpa"", ""Indigofera monophylla"", ""Indigofera spicata""]","[""meyer_galloway_eckert_2026_dryad""]"
Inga,SI,5,"[""Inga edulis"", ""Inga oerstediana"", ""Inga punctata"", ""Inga stipularis"", ""Inga vera""]","[""meyer_galloway_eckert_2026_dryad""]"
Kennedia,SC,5,"[""Kennedia coccinea"", ""Kennedia nigricans"", ""Kennedia prostrata"", ""Kennedia rubicunda"", ""Kennedia stirlingii""]","[""meyer_galloway_eckert_2026_dryad""]"
Lespedeza,SC,10,"[""Lespedeza bicolor"", ""Lespedeza capitata"", ""Lespedeza cuneata"", ""Lespedeza daurica"", ""Lespedeza floribunda"", ""Lespedeza inschanica"", ""Lespedeza repens"", ""Lespedeza stuevei"", ""Lespedeza virgata"", ""Lespedeza virginica""]","[""meyer_galloway_eckert_2026_dryad""]"
Lupinus,SC,16,"[""Lupinus affinis"", ""Lupinus albus"", ""Lupinus angustifolius"", ""Lupinus arboreus"", ""Lupinus bicolor"", ""Lupinus luteus"", ""Lupinus microcarpus"", ""Lupinus mutabilis"", ""Lupinus nanus"", ""Lupinus perennis"", ""Lupinus pilosus"", ""Lupinus polycarpus"", ""Lupinus succulentus"", ""Lupinus texensis"", ""Lupinus villosus"", ""Lupinus westianus""]","[""meyer_galloway_eckert_2026_dryad""]"
Macroptilium,SC,5,"[""Macroptilium atropurpureum"", ""Macroptilium bracteatum"", ""Macroptilium gracile"", ""Macroptilium lathyroides"", ""Macroptilium panduratum""]","[""meyer_galloway_eckert_2026_dryad""]"
Medicago,SC,34,"[""Medicago arabica"", ""Medicago arborea"", ""Medicago blancheana"", ""Medicago bonarotiana"", ""Medicago constricta"", ""Medicago coronata"", ""Medicago doliata"", ""Medicago heyniana"", ""Medicago intertexta"", ""Medicago laciniata"", ""Medicago littoralis"", ""Medicago lupulina"", ""Medicago minima"", ""Medicago murex"", ""Medicago muricoleptis"", ""Medicago noeana"", ""Medicago orbicularis"", ""Medicago polyceratia"", ""Medicago polymorpha"", ""Medicago praecox"", ""Medicago radiata"", ""Medicago rigidula"", ""Medicago rotata"", ""Medicago rugosa"", ""Medicago sativa"", ""Medicago scutellata"", ""Medicago secundiflora"", ""Medicago soleirolii"", ""Medicago sphaerocarpos"", ""Medicago suffruticosa"", ""Medicago tenoreana"", ""Medicago tornata"", ""Medicago truncatula"", ""Medicago turbinata""]","[""meyer_galloway_eckert_2026_dryad""]"
Melilotus,SC,8,"[""Melilotus altissimus"", ""Melilotus elegans"", ""Melilotus indicus"", ""Melilotus infestus"", ""Melilotus officinalis"", ""Melilotus segetalis"", ""Melilotus sulcatus"", ""Melilotus wolgicus""]","[""meyer_galloway_eckert_2026_dryad""]"
Ononis,SC,7,"[""Ononis alopecuroides"", ""Ononis hirta"", ""Ononis minutissima"", ""Ononis mitissima"", ""Ononis ornithopodioides"", ""Ononis sicula"", ""Ononis viscosa""]","[""meyer_galloway_eckert_2026_dryad""]"
