trait_name,n_species_broad,broad_rate,n_species_any_channel,any_channel_rate
flower_primary_color,342,0.002965455049944506,361,0.003130202552719201
floral_form,61,0.000528926193118757,80,0.0006936736958934517
floral_symmetry,16,0.00013873473917869035,16,0.00013873473917869035
flower_size_class,23,0.00019943118756936737,23,0.00019943118756936737
tube_depth_class,1,8.670921198668147e-06,1,8.670921198668147e-06
pollen_vector_mode,551,0.004777677580466148,551,0.004777677580466148
pollination_functional_guild,563,0.0048817286348501665,582,0.005046476137624861
sex_system,1670,0.014480438401775805,1670,0.014480438401775805
mating_system,36,0.0003121531631520533,55,0.00047690066592674803
self_incompatibility,97,0.0008410793562708102,115,0.0009971559378468369
autonomous_selfing_capacity,300,0.002601276359600444,300,0.002601276359600444
cleistogamy,2,1.7341842397336293e-05,2,1.7341842397336293e-05
dichogamy,67,0.0005809517203107658,67,0.0005809517203107658
