accepted_species,genus,family,n_islands,n_records
Trifolium subterraneum,Trifolium,Fabaceae,127,9011
Aiphanes minima,Aiphanes,Arecaceae,11,121
Bulbinella hookeri,Bulbinella,Asphodelaceae,3,522
Eupatorium cannabinum,Eupatorium,Asteraceae,171,130858
Baeometra uniflora,Baeometra,Colchicaceae,1,1
Iris spuria,Iris,Iridaceae,13,219
Ranunculus ficaria,Ranunculus,Ranunculaceae,35,137
Maesopsis eminii,Maesopsis,Rhamnaceae,7,47
Alectryon excelsus,Alectryon,Sapindaceae,12,3897
Smilax campestris,Smilax,Smilacaceae,2,17
Camellia intermedia,Camellia,Theaceae,1,73
Cajanus cajan,Cajanus,Fabaceae,127,2140
Trifolium resupinatum,Trifolium,Fabaceae,124,2412
